dev_alphabetical_id,dev_numerical_id
D33_V_indoor_panrot_0002,23
D14_V_indoor_still_0002,3
D09_V_indoor_panrot_0002,7
D33_V_outdoor_panrot_0002,23
D05_V_indoor_panrot_0001,3
D29_V_outdoor_move_0002,19
D26_V_indoor_still_0001,0
D05_V_outdoor_move_0001,3
D34_V_indoor_still_0002,19
D02_V_indoor_still_0001,1
D34_V_outdoor_move_0002,19
D15_V_indoor_move_0001,4
D24_V_indoor_move_0001,15
D09_V_outdoor_panrot_0002,7
D02_V_outdoor_still_0002,1
D07_V_outdoor_still_0001,5
D19_V_outdoor_still_0001,11
D09_V_indoor_still_0002,7
D15_V_outdoor_move_0001,4
D08_V_outdoor_panrot_0003,6
D19_V_indoor_still_0001,11
D35_V_outdoor_move_0001,24
D31_V_indoor_move_0002,21
D34_V_indoor_still_0004,19
D05_V_indoor_still_0001,3
D34_V_indoor_panrot_0003,19
D31_V_indoor_still_0002,21
D10_V_indoor_move_0001,1
D29_V_indoor_move_0002,19
D26_V_indoor_panrot_0001,0
D14_V_indoor_move_0001,3
D32_V_indoor_move_0001,22
D29_V_indoor_panrot_0001,19
D13_V_outdoor_still_0002,9
D33_V_outdoor_move_0001,23
D28_V_indoor_panrot_0001,18
D20_V_indoor_still_0002,12
D06_V_outdoor_still_0001,4
D23_V_indoor_panrot_0002,14
D03_V_outdoor_still_0001,2
D16_V_indoor_still_0002,10
D06_V_indoor_panrot_0002,4
D02_V_outdoor_move_0001,1
D19_V_outdoor_panrot_0002,11
D03_V_outdoor_still_0002,2
D01_V_outdoor_panrot_0003,0
D06_V_indoor_move_0002,4
D32_V_outdoor_move_0002,22
D11_V_indoor_still_0002,8
D25_V_indoor_panrot_0001,16
D15_V_outdoor_panrot_0001,4
D29_V_outdoor_move_0001,19
D23_V_indoor_still_0001,14
D26_V_outdoor_panrot_0001,0
D27_V_outdoor_panrot_0002,17
D34_V_outdoor_still_0001,19
D25_V_indoor_still_0001,16
D09_V_indoor_move_0001,7
D14_V_indoor_panrot_0001,3
D23_V_indoor_still_0002,14
D19_V_indoor_still_0002,11
D23_V_indoor_move_0002,14
D29_V_outdoor_still_0001,19
D15_V_indoor_still_0002,4
D27_V_outdoor_move_0001,17
D11_V_outdoor_panrot_0002,8
D05_V_indoor_move_0001,3
D32_V_outdoor_move_0001,22
D20_V_outdoor_panrot_0002,12
D16_V_indoor_move_0002,10
D35_V_outdoor_move_0002,24
D10_V_indoor_still_0002,1
D16_V_outdoor_still_0002,10
D31_V_outdoor_move_0002,21
D28_V_indoor_still_0002,18
D08_V_indoor_still_0002,6
D26_V_indoor_still_0002,0
D28_V_outdoor_panrot_0001,18
D21_V_indoor_panrot_0001,13
D32_V_indoor_panrot_0002,22
D21_V_indoor_move_0001,13
D26_V_indoor_panrot_0002,0
D32_V_outdoor_still_0002,22
D24_V_outdoor_move_0002,15
D15_V_indoor_panrot_0001,4
D01_V_outdoor_panrot_0002,0
D11_V_outdoor_still_0001,8
D30_V_outdoor_move_0001,20
D27_V_indoor_move_0001,17
D23_V_outdoor_panrot_0002,14
D08_V_outdoor_move_0003,6
D30_V_indoor_panrot_0001,20
D28_V_outdoor_move_0001,18
D30_V_outdoor_move_0002,20
D07_V_indoor_still_0002,5
D34_V_outdoor_panrot_0002,19
D14_V_outdoor_panrot_0002,3
D11_V_indoor_still_0001,8
D31_V_outdoor_still_0001,21
D03_V_indoor_move_0001,2
D33_V_indoor_panrot_0001,23
D20_V_outdoor_move_0001,12
D20_V_indoor_move_0001,12
D20_V_indoor_panrot_0002,12
D01_V_outdoor_panrot_0001,0
D13_V_outdoor_move_0001,9
D31_V_outdoor_still_0002,21
D25_V_outdoor_panrot_0001,16
D20_V_indoor_panrot_0001,12
D05_V_indoor_panrot_0002,3
D27_V_indoor_still_0002,17
D19_V_outdoor_move_0001,11
D19_V_indoor_panrot_0002,11
D34_V_indoor_still_0003,19
D28_V_outdoor_panrot_0002,18
D16_V_indoor_move_0001,10
D25_V_indoor_move_0001,16
D06_V_indoor_panrot_0001,4
D01_V_outdoor_move_0001,0
D27_V_outdoor_move_0002,17
D31_V_indoor_move_0001,21
D23_V_outdoor_still_0001,14
D26_V_outdoor_panrot_0002,0
D13_V_outdoor_panrot_0002,9
D34_V_outdoor_panrot_0001,19
D15_V_outdoor_still_0001,4
D35_V_indoor_move_0001,24
D33_V_outdoor_panrot_0001,23
D19_V_indoor_move_0001,11
D01_V_outdoor_still_0001,0
D07_V_outdoor_panrot_0001,5
D24_V_indoor_panrot_0001,15
