dev_alphabetical_id,dev_numerical_id
D30_V_outdoorWA_panrot_0002,20
D20_V_outdoorWA_move_0002,12
D26_V_indoorWA_move_0001,0
D31_V_indoorWA_move_0002,21
D05_V_indoorWA_panrot_0002,3
D01_V_outdoorWA_move_0002,0
D19_V_indoorWA_move_0001,11
D11_V_indoorWA_move_0002,8
D16_V_indoorWA_move_0001,10
D03_V_indoorWA_move_0001,2
D21_V_indoorWA_panrot_0001,13
D09_V_indoorWA_move_0002,7
D08_V_indoorWA_panrot_0002,6
D02_V_indoorWA_move_0001,1
D29_V_indoorWA_still_0002,19
D08_V_indoorWA_move_0004,6
D29_V_indoorWA_panrot_0001,19
D34_V_indoorWA_still_0003,19
D31_V_outdoorWA_move_0001,21
D34_V_indoorWA_move_0002,19
D32_V_indoorWA_move_0002,22
D01_V_outdoorWA_move_0003,0
D15_V_outdoorWA_still_0001,4
D13_V_outdoorWA_move_0001,9
D07_V_outdoorWA_still_0002,5
D24_V_outdoorWA_move_0002,15
D33_V_indoorWA_panrot_0001,23
D08_V_indoorWA_move_0001,6
D03_V_indoorWA_still_0001,2
D28_V_outdoorWA_still_0001,18
D30_V_outdoorWA_panrot_0001,20
D06_V_indoorWA_move_0001,4
D33_V_outdoorWA_panrot_0002,23
D05_V_indoorWA_still_0002,3
D29_V_indoorWA_panrot_0002,19
D10_V_indoorWA_still_0002,1
D05_V_outdoorWA_move_0002,3
D03_V_outdoorWA_panrot_0002,2
D29_V_outdoorWA_move_0001,19
D13_V_outdoorWA_still_0002,9
D28_V_indoorWA_move_0002,18
D02_V_indoorWA_still_0001,1
D33_V_indoorWA_still_0002,23
D07_V_outdoorWA_move_0001,5
D08_V_outdoorWA_still_0001,6
D13_V_indoorWA_move_0001,9
D08_V_outdoorWA_move_0001,6
D35_V_indoorWA_panrot_0001,24
D20_V_indoorWA_still_0002,12
D30_V_outdoorWA_move_0002,20
D26_V_outdoorWA_still_0002,0
D15_V_indoorWA_panrot_0001,4
D27_V_outdoorWA_panrot_0001,17
D01_V_outdoorWA_move_0001,0
D13_V_indoorWA_panrot_0002,9
D01_V_outdoorWA_move_0004,0
D34_V_indoorWA_move_0001,19
D08_V_indoorWA_still_0003,6
D09_V_indoorWA_panrot_0002,7
D23_V_indoorWA_move_0001,14
D01_V_outdoorWA_panrot_0002,0
D26_V_outdoorWA_move_0002,0
D18_V_outdoorWA_panrot_0001,3
D24_V_outdoorWA_still_0001,15
D06_V_indoorWA_move_0002,4
D09_V_outdoorWA_still_0001,7
D29_V_indoorWA_move_0001,19
D14_V_outdoorWA_move_0002,3
D30_V_indoorWA_still_0002,20
D05_V_outdoorWA_move_0001,3
D01_V_outdoorWA_still_0001,0
D08_V_outdoorWA_move_0002,6
D01_V_outdoorWA_still_0003,0
D34_V_indoorWA_still_0004,19
D03_V_outdoorWA_move_0002,2
D14_V_indoorWA_panrot_0002,3
D32_V_indoorWA_still_0002,22
D03_V_indoorWA_move_0002,2
D07_V_outdoorWA_still_0001,5
D30_V_indoorWA_panrot_0002,20
D32_V_outdoorWA_still_0002,22
D20_V_indoorWA_panrot_0002,12
D26_V_outdoorWA_panrot_0002,0
D23_V_indoorWA_panrot_0002,14
D24_V_outdoorWA_panrot_0001,15
D15_V_indoorWA_still_0001,4
D35_V_indoorWA_panrot_0002,24
D10_V_indoorWA_still_0001,1
D07_V_indoorWA_still_0001,5
D28_V_outdoorWA_panrot_0002,18
D11_V_indoorWA_still_0002,8
D19_V_outdoorWA_still_0001,11
D28_V_outdoorWA_move_0001,18
D21_V_indoorWA_still_0001,13
D25_V_outdoorWA_panrot_0002,16
D08_V_outdoorWA_still_0002,6
D16_V_outdoorWA_panrot_0002,10
D34_V_outdoorWA_still_0001,19
D06_V_outdoorWA_panrot_0001,4
D31_V_indoorWA_panrot_0001,21
D05_V_outdoorWA_still_0002,3
D27_V_outdoorWA_panrot_0002,17
D15_V_outdoorWA_move_0001,4
D29_V_outdoorWA_panrot_0001,19
D21_V_indoorWA_move_0001,13
D34_V_indoorWA_still_0002,19
D27_V_outdoorWA_move_0001,17
D05_V_indoorWA_still_0001,3
D07_V_indoorWA_panrot_0001,5
D34_V_outdoorWA_move_0002,19
D14_V_outdoorWA_panrot_0001,3
D02_V_outdoorWA_still_0001,1
D06_V_indoorWA_panrot_0002,4
D18_V_outdoorWA_still_0002,3
D03_V_outdoorWA_still_0002,2
D09_V_indoorWA_still_0002,7
D09_V_outdoorWA_still_0002,7
D32_V_indoorWA_panrot_0001,22
D24_V_indoorWA_panrot_0001,15
D35_V_indoorWA_still_0001,24
D01_V_indoorWA_move_0001,0
D23_V_indoorWA_still_0001,14
D09_V_indoorWA_move_0001,7
D20_V_indoorWA_move_0002,12
D31_V_indoorWA_move_0001,21
D10_V_outdoorWA_still_0001,1
D35_V_indoorWA_move_0001,24
D19_V_indoorWA_still_0002,11
D26_V_indoorWA_panrot_0001,0
D11_V_outdoorWA_move_0001,8
D28_V_indoorWA_still_0001,18
D08_V_outdoorWA_panrot_0004,6
D30_V_indoorWA_move_0002,20
D28_V_indoorWA_panrot_0001,18
D02_V_outdoorWA_still_0003,1
D03_V_indoorWA_panrot_0001,2
D01_V_outdoorWA_panrot_0001,0
D13_V_outdoorWA_still_0001,9
D01_V_indoorWA_still_0001,0
D35_V_outdoorWA_still_0002,24
D24_V_outdoorWA_still_0002,15
D19_V_indoorWA_move_0002,11
