dev_alphabetical_id,dev_numerical_id
D21_V_indoorYT_move_0001,13
D05_V_outdoorYT_still_0002,3
D23_V_indoorYT_panrot_0001,14
D19_V_outdoorYT_panrot_0002,11
D05_V_indoorYT_still_0001,3
D31_V_outdoorYT_still_0002,21
D24_V_outdoorYT_panrot_0001,15
D35_V_indoorYT_still_0002,24
D23_V_indoorYT_still_0001,14
D01_V_indoorYT_move_0002,0
D01_V_outdoorYT_panrot_0003,0
D15_V_outdoorYT_still_0001,4
D05_V_outdoorYT_still_0001,3
D03_V_indoorYT_move_0002,2
D08_V_outdoorYT_move_0004,6
D14_V_outdoorYT_move_0001,3
D09_V_outdoorYT_move_0001,7
D24_V_indoorYT_still_0002,15
D08_V_indoorYT_move_0003,6
D14_V_indoorYT_still_0001,3
D34_V_outdoorYT_move_0003,19
D28_V_indoorYT_still_0002,18
D16_V_indoorYT_panrot_0002,10
D29_V_outdoorYT_panrot_0001,19
D13_V_indoorYT_move_0001,9
D34_V_indoorYT_still_0001,19
D23_V_outdoorYT_move_0001,14
D18_V_outdoorYT_move_0001,3
D24_V_indoorYT_panrot_0001,15
D28_V_outdoorYT_move_0001,18
D27_V_outdoorYT_still_0002,17
D07_V_indoorYT_panrot_0001,5
D06_V_outdoorYT_move_0001,4
D29_V_outdoorYT_move_0002,19
D19_V_outdoorYT_panrot_0001,11
D32_V_outdoorYT_move_0001,22
D01_V_indoorYT_still_0001,0
D16_V_indoorYT_move_0001,10
D30_V_outdoorYT_still_0002,20
D16_V_indoorYT_still_0002,10
D20_V_outdoorYT_move_0001,12
D02_V_outdoorYT_still_0003,1
D33_V_indoorYT_panrot_0002,23
D25_V_indoorYT_still_0002,16
D19_V_indoorYT_panrot_0001,11
D01_V_outdoorYT_panrot_0002,0
D26_V_indoorYT_still_0001,0
D25_V_outdoorYT_panrot_0002,16
D28_V_outdoorYT_still_0002,18
D34_V_indoorYT_move_0001,19
D16_V_outdoorYT_panrot_0001,10
D32_V_outdoorYT_still_0002,22
D23_V_outdoorYT_panrot_0002,14
D11_V_outdoorYT_still_0001,8
D15_V_indoorYT_panrot_0001,4
D19_V_outdoorYT_move_0002,11
D18_V_outdoorYT_panrot_0001,3
D30_V_outdoorYT_panrot_0002,20
D11_V_indoorYT_move_0001,8
D32_V_indoorYT_panrot_0001,22
D21_V_indoorYT_panrot_0001,13
D34_V_outdoorYT_move_0004,19
D07_V_indoorYT_still_0001,5
D14_V_outdoorYT_still_0001,3
D27_V_outdoorYT_panrot_0001,17
D32_V_indoorYT_move_0002,22
D05_V_outdoorYT_move_0001,3
D18_V_outdoorYT_still_0001,3
D33_V_outdoorYT_move_0002,23
D21_V_outdoorYT_still_0001,13
D31_V_indoorYT_still_0001,21
D29_V_indoorYT_panrot_0002,19
D08_V_indoorYT_panrot_0001,6
D03_V_outdoorYT_move_0002,2
D01_V_indoorYT_move_0001,0
D13_V_indoorYT_still_0001,9
D15_V_outdoorYT_panrot_0002,4
D26_V_indoorYT_move_0001,0
D14_V_indoorYT_panrot_0002,3
D28_V_indoorYT_still_0001,18
D27_V_indoorYT_still_0002,17
D16_V_indoorYT_still_0001,10
D29_V_indoorYT_move_0001,19
D08_V_outdoorYT_panrot_0001,6
D28_V_indoorYT_move_0002,18
D07_V_outdoorYT_move_0002,5
D07_V_outdoorYT_still_0002,5
D07_V_outdoorYT_panrot_0002,5
D29_V_outdoorYT_still_0001,19
D14_V_indoorYT_move_0002,3
D11_V_outdoorYT_move_0002,8
D11_V_indoorYT_panrot_0001,8
D07_V_indoorYT_panrot_0002,5
D03_V_indoorYT_panrot_0001,2
D23_V_indoorYT_move_0002,14
D34_V_indoorYT_move_0002,19
D32_V_indoorYT_move_0001,22
D27_V_indoorYT_panrot_0002,17
D26_V_outdoorYT_still_0001,0
D29_V_indoorYT_move_0002,19
D32_V_outdoorYT_panrot_0001,22
D11_V_indoorYT_still_0001,8
D14_V_indoorYT_panrot_0001,3
D21_V_indoorYT_still_0001,13
D14_V_indoorYT_move_0001,3
D03_V_indoorYT_still_0002,2
D16_V_outdoorYT_move_0002,10
D08_V_outdoorYT_still_0002,6
D31_V_indoorYT_move_0002,21
D02_V_outdoorYT_panrot_0001,1
D35_V_indoorYT_move_0001,24
D31_V_outdoorYT_still_0001,21
D20_V_outdoorYT_panrot_0001,12
D15_V_indoorYT_panrot_0002,4
D03_V_indoorYT_still_0001,2
D11_V_outdoorYT_panrot_0001,8
D33_V_indoorYT_still_0001,23
D34_V_outdoorYT_panrot_0002,19
D27_V_indoorYT_move_0002,17
D34_V_indoorYT_move_0004,19
D11_V_outdoorYT_move_0001,8
D09_V_indoorYT_panrot_0001,7
D33_V_outdoorYT_panrot_0001,23
D32_V_indoorYT_panrot_0002,22
D02_V_indoorYT_panrot_0001,1
D15_V_indoorYT_move_0001,4
D15_V_indoorYT_still_0002,4
D03_V_outdoorYT_still_0002,2
D20_V_indoorYT_move_0001,12
D02_V_outdoorYT_still_0001,1
D28_V_outdoorYT_move_0002,18
D19_V_outdoorYT_still_0002,11
D13_V_indoorYT_panrot_0002,9
D19_V_indoorYT_still_0001,11
D15_V_outdoorYT_move_0002,4
D05_V_indoorYT_panrot_0002,3
D34_V_outdoorYT_move_0002,19
D13_V_indoorYT_still_0002,9
D06_V_indoorYT_panrot_0002,4
D30_V_indoorYT_still_0002,20
D26_V_outdoorYT_move_0002,0
D08_V_indoorYT_move_0001,6
D06_V_outdoorYT_panrot_0002,4
D25_V_indoorYT_panrot_0002,16
D34_V_outdoorYT_move_0001,19
D02_V_outdoorYT_still_0002,1
D18_V_indoorYT_move_0001,3
D27_V_indoorYT_panrot_0001,17
D34_V_outdoorYT_panrot_0001,19
D20_V_outdoorYT_still_0002,12
D01_V_outdoorYT_still_0003,0
D09_V_outdoorYT_still_0002,7
D25_V_outdoorYT_move_0001,16
D03_V_indoorYT_move_0001,2
D30_V_outdoorYT_panrot_0001,20
D31_V_outdoorYT_panrot_0002,21
D28_V_indoorYT_panrot_0001,18
D13_V_outdoorYT_still_0002,9
D10_V_outdoorYT_move_0001,1
D32_V_outdoorYT_still_0001,22
D33_V_outdoorYT_panrot_0002,23
D15_V_outdoorYT_move_0001,4
D35_V_outdoorYT_move_0001,24
D20_V_indoorYT_still_0001,12
D08_V_outdoorYT_move_0001,6
D08_V_indoorYT_move_0004,6
D31_V_outdoorYT_move_0002,21
D30_V_indoorYT_still_0001,20
D13_V_outdoorYT_panrot_0002,9
D29_V_outdoorYT_move_0001,19
D19_V_outdoorYT_move_0001,11
D32_V_indoorYT_still_0002,22
D02_V_outdoorYT_panrot_0002,1
D06_V_indoorYT_move_0002,4
D34_V_indoorYT_panrot_0004,19
D33_V_indoorYT_still_0002,23
D24_V_indoorYT_panrot_0002,15
D08_V_indoorYT_move_0002,6
D30_V_indoorYT_move_0002,20
D29_V_indoorYT_panrot_0001,19
D24_V_indoorYT_move_0002,15
D05_V_outdoorYT_move_0002,3
D13_V_indoorYT_move_0002,9
D09_V_outdoorYT_still_0001,7
D11_V_indoorYT_still_0002,8
D02_V_indoorYT_move_0001,1
